date,title,type,category
"Sep 14, 2018","Constitution Day, Citizenship Day, and Constitution Week, 2018",Proclamations,Events
"Sep 20, 2018","National POW/MIA Recognition Day, 2018",Proclamations,Events
"Sep 21, 2018","National Hunting and Fishing Day, 2018",Proclamations,Events
"Sep 28, 2018","National Breast Cancer Awareness Month, 2018",Proclamations,Events
"Sep 28, 2018","National Cybersecurity Awareness Month, 2018",Proclamations,Events
"Sep 28, 2018","National Disability Employment Awareness Month, 2018",Proclamations,Events
"Sep 28, 2018","National Energy Awareness Month, 2018",Proclamations,Events
"Sep 28, 2018","National Substance Abuse Prevention Month, 2018",Proclamations,Events
"Sep 28, 2018","Gold Star Mother's and Family's Day, 2018",Proclamations,Events
"Sep 28, 2018","Child Health Day, 2018",Proclamations,Events
"Oct 4, 2018","National Manufacturing Day, 2018",Proclamations,Events
"Oct 5, 2018","German-American Day, 2018",Proclamations,Events
"Oct 5, 2018","Fire Prevention Week, 2018",Proclamations,Events
"Oct 5, 2018","Columbus Day, 2018",Proclamations,Events
"Oct 8, 2018","Leif Erikson Day, 2018",Proclamations,Events
"Oct 9, 2018","National Domestic Violence Awareness Month, 2018",Proclamations,Events
"Oct 10, 2018","General Pulaski Memorial Day, 2018",Proclamations,Events
"Oct 12, 2018","Minority Enterprise Development Week, 2018",Proclamations,Events
"Oct 12, 2018","National School Lunch Week, 2018",Proclamations,Events
"Oct 12, 2018","Blind Americans Equality Day, 2018",Proclamations,Events
"Oct 19, 2018","National Character Counts Week, 2018",Proclamations,Events
"Oct 19, 2018","National Forest Products Week, 2018",Proclamations,Events
"Oct 23, 2018","United Nations Day, 2018",Proclamations,Events
"Oct 26, 2018",Establishment of the Camp Nelson National Monument,Proclamations,Energy
"Oct 27, 2018","Honoring the Victims of the Tragedy in Pittsburgh, Pennsylvania",Proclamations,Events
"Oct 30, 2018",To Modify the List of Products Eligible for Duty- Free Treatment Under the Generalized System of Preferences,Proclamations,Economy
"Oct 31, 2018","Critical Infrastructure Security and Resilience Month, 2018",Proclamations,Events
"Oct 31, 2018","National Adoption Month, 2018",Proclamations,Events
"Oct 31, 2018","National Entrepreneurship Month, 2018",Proclamations,Events
"Oct 31, 2018","National Family Caregivers Month, 2018",Proclamations,Events
"Oct 31, 2018","National Native American Heritage Month, 2018",Proclamations,Events
"Oct 31, 2018","National Veterans and Military Families Month, 2018",Proclamations,Events
"Nov 8, 2018","Honoring the Victims of the Tragedy in Thousand Oaks, California",Proclamations,Events
"Nov 8, 2018","World Freedom Day, 2018",Proclamations,Events
"Nov 9, 2018",Addressing Mass Migration Through the Southern Border of the United States,Proclamations,Labor/Immigration
"Nov 9, 2018","American Education Week, 2018",Proclamations,Events
"Nov 9, 2018","National Apprenticeship Week, 2018",Proclamations,Events
"Nov 9, 2018","Veterans Day, 2018",Proclamations,Events
"Nov 16, 2018","National Family Week, 2018",Proclamations,Events
"Nov 20, 2018","Thanksgiving Day, 2018",Proclamations,Events
"Nov 30, 2018","National Impaired Driving Prevention Month, 2018",Proclamations,Events
"Nov 30, 2018","World AIDS Day, 2018",Proclamations,Events
"Dec 1, 2018",Announcing the Death of George Herbert Walker Bush,Proclamations,Events
"Dec 6, 2018","National Pearl Harbor Remembrance Day, 2018",Proclamations,Events
"Dec 7, 2018","Human Rights Day, Bill of Rights Day, and Human Rights Week, 2018",Proclamations,Events
"Dec 14, 2018","Wright Brothers Day, 2018",Proclamations,Events
"Dec 21, 2018",To Take Certain Actions Under the African Growth and Opportunity Act and for Other Purposes,Proclamations,Economy
"Dec 31, 2018","National Slavery and Human Trafficking Prevention Month, 2019",Proclamations,Events
"Jan 20, 2017",National Day of Patriotic Devotion,Proclamations,Events
"Jan 25, 2017","National School Choice Week, 2017",Proclamations,Events
"Feb 1, 2017","National African American History Month, 2017",Proclamations,Events
"Feb 2, 2017","American Heart Month, 2017",Proclamations,Events
"Mar 1, 2017","American Red Cross Month, 2017",Proclamations,Events
"Mar 1, 2017","Irish-American Heritage Month, 2017",Proclamations,Events
"Mar 1, 2017","Women's History Month, 2017",Proclamations,Events
"Mar 6, 2017","National Consumer Protection Week, 2017",Proclamations,Events
"Mar 17, 2017","National Poison Prevention Week, 2017",Proclamations,Events
"Mar 21, 2017","National Agriculture Day, 2017",Proclamations,Events
"Mar 24, 2017","Greek Independence Day: A National Day of Celebration of Greek and American Democracy, 2017",Proclamations,Events
"Mar 31, 2017","Cancer Control Month, 2017",Proclamations,Events
"Mar 31, 2017","National Child Abuse Prevention Month, 2017",Proclamations,Events
"Mar 31, 2017","National Donate Life Month, 2017",Proclamations,Events
"Mar 31, 2017","National Financial Capability Month, 2017",Proclamations,Events
"Mar 31, 2017","National Sexual Assault Awareness and Prevention Month, 2017",Proclamations,Events
"Mar 31, 2017","World Autism Awareness Day, 2017",Proclamations,Events
"Apr 3, 2017","National Crime Victims' Rights Week, 2017",Proclamations,Events
"Apr 5, 2017",Honoring the Memory of John Glenn,Proclamations,Events
"Apr 6, 2017","Education and Sharing Day, U.S.A., 2017",Proclamations,Events
"Apr 7, 2017","Pan American Day and Pan American Week, 2017",Proclamations,Events
"Apr 7, 2017","National Former Prisoner of War Recognition Day, 2017",Proclamations,Events
"Apr 14, 2017","National Park Week, 2017",Proclamations,Events
"Apr 21, 2017","National Volunteer Week, 2017",Proclamations,Events
"Apr 24, 2017","Days of Remembrance of Victims of the Holocaust, 2017",Proclamations,Events
"Apr 28, 2017","Asian American and Pacific Islander Heritage Month, 2017",Proclamations,Events
"Apr 28, 2017","Jewish American Heritage Month, 2017",Proclamations,Events
"Apr 28, 2017","National Foster Care Month, 2017",Proclamations,Events
"Apr 28, 2017","National Physical Fitness and Sports Month, 2017",Proclamations,Events
"Apr 28, 2017","Older Americans Month, 2017",Proclamations,Events
"Apr 28, 2017","National Charter Schools Week, 2017",Proclamations,Events
"Apr 28, 2017","Small Business Week, 2017",Proclamations,Events
"Apr 28, 2017","Loyalty Day, 2017",Proclamations,Events
"May 1, 2017","National Mental Health Awareness Month, 2017",Proclamations,Events
"May 1, 2017","Law Day, U.S.A., 2017",Proclamations,Events
"May 4, 2017","National Day of Prayer, 2017",Proclamations,Events
"May 5, 2017","National Hurricane Preparedness Week, 2017",Proclamations,Events
"May 5, 2017","Public Service Recognition Week, 2017",Proclamations,Events
"May 12, 2017","Military Spouse Day, 2017",Proclamations,Events
"May 12, 2017","Mother's Day, 2017",Proclamations,Events
"May 12, 2017","National Defense Transportation Day and National Transportation Week, 2017",Proclamations,Events
"May 15, 2017","Peace Officers Memorial Day and Police Week, 2017",Proclamations,Events
"May 19, 2017","Emergency Medical Services Week, 2017",Proclamations,Events
"May 19, 2017","National Safe Boating Week, 2017",Proclamations,Events
"May 19, 2017","World Trade Week, 2017",Proclamations,Events
"May 19, 2017","Armed Forces Day, 2017",Proclamations,Events
"May 19, 2017","National Maritime Day, 2017",Proclamations,Events
"May 24, 2017","Prayer for Peace, Memorial Day, 2017",Proclamations,Events
"May 31, 2017","African-American Music Appreciation Month, 2017",Proclamations,Events
"May 31, 2017","Great Outdoors Month, 2017",Proclamations,Events
"May 31, 2017","National Caribbean-American Heritage Month, 2017",Proclamations,Events
"May 31, 2017","National Homeownership Month, 2017",Proclamations,Events
"May 31, 2017","National Ocean Month, 2017",Proclamations,Events
"Jun 14, 2017","Flag Day and National Flag Week, 2017",Proclamations,Events
"Jun 16, 2017","Father's Day, 2017",Proclamations,Events
"Jun 29, 2017",To Modify Duty-Free Treatment Under the Generalized System of Preferences and for Other Purposes,Proclamations,Economy
"Jul 14, 2017","Captive Nations Week, 2017",Proclamations,Events
"Jul 17, 2017","Made in America Day and Made in America Week, 2017",Proclamations,Events
"Jul 25, 2017","Anniversary of the Americans with Disabilities Act, 2017",Proclamations,Events
"Jul 26, 2017","National Korean War Veterans Armistice Day, 2017",Proclamations,Events
"Aug 20, 2017","National Employer Support of the Guard and Reserve Week, 2017",Proclamations,Events
"Aug 25, 2017","Women's Equality Day, 2017",Proclamations,Events
"Aug 30, 2017","National Preparedness Month, 2017",Proclamations,Events
"Aug 31, 2017","National Alcohol and Drug Addiction Recovery Month, 2017",Proclamations,Events
"Sep 1, 2017",National Day of Prayer for the Victims of Hurricane Harvey and for Our National Response and Recovery Efforts,Proclamations,Events
"Sep 8, 2017","National Days of Prayer and Remembrance, 2017",Proclamations,Events
"Sep 8, 2017","Patriot Day, 2017",Proclamations,Events
"Sep 13, 2017","National Hispanic Heritage Month, 2017",Proclamations,Events
"Sep 13, 2017","National POW/MIA Recognition Day, 2017",Proclamations,Events
"Sep 15, 2017","Constitution Day, Citizenship Day, and Constitution Week, 2017",Proclamations,Events
"Sep 15, 2017","National Farm Safety and Health Week, 2017",Proclamations,Events
"Sep 15, 2017","National Gang Violence Prevention Week, 2017",Proclamations,Events
"Sep 15, 2017","National Historically Black Colleges and Universities Week, 2017",Proclamations,Events
"Sep 15, 2017","Prescription Opioid and Heroin Epidemic Awareness Week, 2017",Proclamations,Events
"Sep 22, 2017","Gold Star Mother's and Family's Day, 2017",Proclamations,Events
"Sep 24, 2017",Enhancing Vetting Capabilities and Processes for Detecting Attempted Entry Into the United States by Terrorists or Other Public-Safety Threats,Proclamations,National security
"Sep 28, 2017","National Disability Employment Awareness Month, 2017",Proclamations,Events
"Sep 29, 2017","National Breast Cancer Awareness Month, 2017",Proclamations,Events
"Sep 29, 2017","National Cybersecurity Awareness Month, 2017",Proclamations,Events
"Sep 29, 2017","National Domestic Violence Awareness Month, 2017",Proclamations,Events
"Sep 29, 2017","Child Health Day, 2017",Proclamations,Events
"Oct 2, 2017","Honoring the Victims of the Tragedy in Las Vegas, Nevada",Proclamations,Events
"Oct 5, 2017","German-American Day, 2017",Proclamations,Events
"Oct 6, 2017","Fire Prevention Week, 2017",Proclamations,Events
"Oct 6, 2017","National School Lunch Week, 2017",Proclamations,Events
"Oct 6, 2017","National Manufacturing Day, 2017",Proclamations,Events
"Oct 6, 2017","Columbus Day, 2017",Proclamations,Events
"Oct 6, 2017","Leif Erikson Day, 2017",Proclamations,Events
"Oct 10, 2017","General Pulaski Memorial Day, 2017",Proclamations,Events
"Oct 12, 2017","National Energy Awareness Month, 2017",Proclamations,Events
"Oct 13, 2017","National Character Counts Week, 2017",Proclamations,Events
"Oct 13, 2017","National Forest Products Week, 2017",Proclamations,Events
"Oct 13, 2017","Blind Americans Equality Day, 2017",Proclamations,Events
"Oct 20, 2017","Minority Enterprise Development Week, 2017",Proclamations,Events
"Oct 23, 2017","United Nations Day, 2017",Proclamations,Events
"Oct 31, 2017","Critical Infrastructure Security and Resilience Month, 2017",Proclamations,Events
"Oct 31, 2017","National Adoption Month, 2017",Proclamations,Events
"Oct 31, 2017","National Entrepreneurship Month, 2017",Proclamations,Events
"Oct 31, 2017","National Family Caregivers Month, 2017",Proclamations,Events
"Oct 31, 2017","National Native American Heritage Month, 2017",Proclamations,Events
"Nov 1, 2017","National Veterans and Military Families Month, 2017",Proclamations,Events
"Nov 5, 2017","Honoring the Victims of the Sutherland Springs, Texas, Shooting",Proclamations,Events
"Nov 7, 2017","Veterans Day, 2017",Proclamations,Events
"Nov 8, 2017","World Freedom Day, 2017",Proclamations,Events
"Nov 10, 2017",Commemoration of the 50th Anniversary of the Vietnam War,Proclamations,Events
"Nov 10, 2017","American Education Week, 2017",Proclamations,Events
"Nov 10, 2017","National Apprenticeship Week, 2017",Proclamations,Events
"Nov 17, 2017","National Family Week, 2017",Proclamations,Events
"Nov 17, 2017","Thanksgiving Day, 2017",Proclamations,Events
"Nov 30, 2017","National Impaired Driving Prevention Month, 2017",Proclamations,Events
"Nov 30, 2017","World AIDS Day, 2017",Proclamations,Events
"Dec 4, 2017",Modifying the Bears Ears National Monument,Proclamations,Energy
"Dec 4, 2017",Modifying the Grand Staircase-Escalante National Monument,Proclamations,Energy
"Dec 6, 2017",Recognizing Jerusalem as the Capital of the State of Israel and Relocating the United States Embassy to Israel to Jerusalem,Proclamations,National security
"Dec 7, 2017","National Pearl Harbor Remembrance Day, 2017",Proclamations,Events
"Dec 8, 2017","Human Rights Day, Bill of Rights Day, and Human Rights Week, 2017",Proclamations,Events
"Dec 15, 2017","Wright Brothers Day, 2017",Proclamations,Events
"Dec 22, 2017",To Take Certain Actions Under the African Growth and Opportunity Act and for Other Purposes,Proclamations,Economy
"Dec 29, 2017","National Slavery and Human Trafficking Prevention Month, 2018",Proclamations,Events
"Dec 3, 2020",Extension of Governors' Use of the National Guard To Respond to COVID-19 and To Facilitate Economic Recovery,Memoranda,Economy
"Dec 3, 2020",Extension of Governors' Use of the National Guard To Respond to COVID-19 and To Facilitate Economic Recovery,Memoranda,Economy
"Nov 24, 2020",Continuation of the National Emergency With Respect to the Situation in Nicaragua,Memoranda,National security
"Nov 7, 2020","Delegation of Authority Under Section 506(a)(1) of the Foreign Assistance Act of 1961, as Amended",Memoranda,National security
"Nov 9, 2020",Delegation of Authority for Fiscal Year 2021 Cost Estimates and Annual Reports to the Congress for the Land and Water Conservation Fund,Memoranda,Energy
"Oct 31, 2020","Protecting Jobs, Economic Opportunities, and National Security for All Americans by Ensuring Appropriate Support of Innovative Technologies for Using Our Domestic Natural Resources",Memoranda,Economy
"Oct 14, 2020",Delegation of Authority Under Section 404(c) of the Child Soldiers Prevention Act of 2008,Memoranda,National security
"Oct 9, 2020",Delegation of Authority Under 15 U.S.C. 634c(b)(3)(B),Memoranda,Economy
"Sep 2, 2020",Delegation of Authority To Submit to the Congress the Notifications and Explanations Specified in the Resolution of Advice and Consent to Ratification of the Agreement Between the United States of America and the International Atomic Energy Agency for the Application of Safeguards in the United States of America,Memoranda,Energy
"Sep 4, 2020",Delegation of Certain Functions and Authorities Under the Global Fragility Act of 2019,Memoranda,National security
"Sep 2, 2020",Providing an Order of Succession Within the General Services Administration,Memoranda,Administrative work
"Aug 29, 2020",Extension of the Use of the National Guard To Respond to COVID-19 and To Facilitate Economic Recovery,Memoranda,Economy
"Aug 8, 2020",Continued Student Loan Payment Relief During the COVID-19 Pandemic,Memoranda,Economy
"Aug 8, 2020",Deferring Payroll Tax Obligations in Light of the Ongoing COVID-19 Disaster,Memoranda,Economy
"Jul 7, 2020",Delegation of Authority Under the Better Utilization of Investments Leading to Development Act of 2018,Memoranda,Economy
"Jul 21, 2020",Excluding Illegal Aliens From the Apportionment Base Following the 2020 Census,Memoranda,Labor/Immigration
"Apr 14, 2020",Delegation of Authorities Under the National Defense Authorization Act for Fiscal Year 2020 and the Eastern Mediterranean Security and Energy Partnership Act of 2019,Memoranda,National security
"Jun 4, 2020",Protecting United States Investors From Significant Risks From Chinese Companies,Memoranda,National security
"Jun 2, 2020",Providing Continued Federal Support for Governors' Use of the National Guard To Respond to COVID-19 and To Facilitate Economic Recovery,Memoranda,Economy
"May 20, 2020",Providing Continued Federal Support for Governors' Use of the National Guard To Respond to COVID-19 and To Facilitate Economic Recovery,Memoranda,Economy
"May 12, 2020",Delegation of Functions and Authorities Under Section 1260J of the National Defense Authorization Act for Fiscal Year 2020,Memoranda,National security
"May 8, 2020",Providing Continued Federal Support for Governors' Use of the National Guard To Respond to COVID-19 and To Facilitate Economic Recovery,Memoranda,Economy
"Apr 28, 2020",Providing Continued Federal Support for Governors' Use of the National Guard To Respond to COVID-19 and To Facilitate Economic Recovery,Memoranda,Economy
"Apr 20, 2020",Providing Continued Federal Support for Governors' Use of the National Guard To Respond to COVID-19 and To Facilitate Economic Recovery,Memoranda,Economy
"Mar 31, 2020",Delegation of Certain Functions and Authorities Under the National Defense Authorization Act for Fiscal Year 2020,Memoranda,National security
"Apr 10, 2020",Authorizing the Exercise of Authority Under Public Law 85-804,Memoranda,National security
"Apr 13, 2020",Providing Federal Support for Governors' Use of the National Guard To Respond to COVID-19,Memoranda,Economy
"Apr 7, 2020",Providing Federal Support for Governors' Use of the National Guard To Respond to COVID-19,Memoranda,Economy
"Apr 2, 2020",Providing an Order of Succession Within the Pension Benefit Guaranty Corporation,Memoranda,Administrative work
"Apr 2, 2020",Providing Federal Support for Governors' Use of the National Guard To Respond to COVID-19,Memoranda,Economy
"Mar 30, 2020",Extending the Wind-Down Period for Deferred Enforced Departure for Liberians,Memoranda,National security
"Mar 28, 2020",Providing Federal Support for Governors' Use of the National Guard To Respond to COVID-19,Memoranda,Economy
"Mar 30, 2020",Providing Federal Support for Governors' Use of the National Guard To Respond to COVID-19,Memoranda,Economy
"Mar 22, 2020",Providing Federal Support for Governors' Use of the National Guard To Respond to COVID-19,Memoranda,Economy
"Mar 20, 2020",Delegation of Functions Under 31 U.S.C. 5302,Memoranda,Economy
"Mar 13, 2020",Expanding State-Approved Diagnostic Tests,Memoranda,Health care
"Mar 11, 2020",Making General Use Respirators Available,Memoranda,Health care
"Feb 21, 2020",Delegation of Certain Functions and Authorities Under the National Defense Authorization Act for Fiscal Year 2020,Memoranda,National security
"Mar 3, 2020",Delegation of Authority to Re-establish the Presidential Advisory Council on Combating Antibiotic- Resistant Bacteria,Memoranda,Health care
"Feb 19, 2020",Developing and Delivering More Water Supplies to California,Memoranda,Energy
"Jan 29, 2020",Delegation of Certain Authority Under the Federal Service Labor-Management Relations Statute,Memoranda,National security
"Nov 19, 2019",Ocean Mapping of the United States Exclusive Economic Zone and the Shoreline and Nearshore of Alaska,Memoranda,Economy
"Nov 12, 2019",Delegation of Removal Authority Over the Federal Service Impasses Panel,Memoranda,Labor/Immigration
"Oct 11, 2019","Executive Orders 13836, 13837, and 13839",Memoranda,Labor/Immigration
"Sep 24, 2019",Delegation of Functions and Authorities Under the Better Utilization of Investments Leading to Development Act of 2018,Memoranda,Economy
"Sep 6, 2019",Providing an Order of Secession Within the Council on Environmental Quality,Memoranda,Energy
"Aug 21, 2019",Discharging the Federal Student Loan Debt of Totally and Permanently Disabled Veterans,Memoranda,National security
"Jul 19, 2019",Delegation of Authority Under the Asia Reassurance Initiative Act of 2018,Memoranda,National security
"Jul 26, 2019",Reforming Developing-Country Status in the World Trade Organization,Memoranda,National security
"Jun 26, 2019",Policy for Military Service Academy and Reserve Officers' Training Corps Graduates Seeking to Participate in Professional Sports,Memoranda,National security
"May 24, 2019",Delegation of Functions and Authorities Under the Nicaragua Human Rights and Anticorruption Act of 2018,Memoranda,National security
"May 24, 2019",Delegation of Functions and Authorities Under the Sanctioning the Use of Civilians as Defenseless Shields Act,Memoranda,National security
"May 24, 2019","Delegation of Function Under the Hizballah International Financing Prevention Act of 2015, as Amended",Memoranda,National security
"May 24, 2019",Revisions to the 2017 Unified Command Plan,Memoranda,National security
"May 23, 2019",Agency Cooperation With Attorney General's Review of Intelligence Activities Relating to the 2016 Presidential Campaigns,Memoranda,National security
"Apr 30, 2019",Delegation of Authority Under Section 5 of the United States-Caribbean Strategic Engagement Act of 2016,Memoranda,National security
"Apr 22, 2019",Combating High Nonimmigrant Overstay Rates,Memoranda,Labor/Immigration
"Apr 1, 2019",Delaying Submission of the Small Business Report Under the Trade Facilitation and Trade Enforcement Act of 2015,Memoranda,Economy
"Mar 28, 2019",Extension of Deferred Enforced Departure for Liberians,Memoranda,National security
"Mar 27, 2019",Federal Housing Finance Reform,Memoranda,Economy
"Jan 8, 2019",Decision on the United States Consulate General in Jerusalem,Memoranda,National security
"Jan 15, 2019","Delegation of Functions and Authorities Under the Hizballah International Financing Prevention Act of 2015, as Amended, and the Hizballah International Financing Prevention Amendments Act of 2018",Memoranda,National security
"Jan 15, 2019",Delegation of Authorities and Responsibilities Under Section 1763 of the National Defense Authorization Act for Fiscal Year 2019,Memoranda,National security
"Dec 21, 2018",Delegation of Functions and Authorities Under Section 1238 of the FAA Reauthorization Act of 2018,Memoranda,Economy
"Dec 21, 2018",Delegation of Functions and Authorities Under Section 1245 of the National Defense Authorization Act for Fiscal Year 2019,Memoranda,National security
"Dec 18, 2018",Establishment of United States Space Command as a Unified Combatant Command,Memoranda,National security
"Nov 29, 2018",Delegation of Authority Under Section 614(a)(1) of the Foreign Assistance Act of 1961,Memoranda,National security
"Nov 5, 2018",Delegation of Authority Contained in Condition 23 of the Resolution of Advice and Consent to Ratification of the Chemical Weapons Convention,Memoranda,National security
"Nov 26, 2018",Delegation of Authorities Under Section 1757 of the National Defense Authorization Act for Fiscal Year 2019,Memoranda,National security
"Oct 26, 2018",Delegation of Authorities Under Section 1294 of the National Defense Authorization Act for Fiscal Year 2019,Memoranda,National security
"Oct 29, 2018",Delegation of Authority Under Section 1244 of the National Defense Authorization Act for Fiscal Year 2019,Memoranda,National security
"Oct 26, 2018",Delegation of Authority Under Section 1069 of the National Defense Authorization Act for Fiscal Year 2019,Memoranda,National security
"Oct 26, 2018",Delegation of Authority Under Section 3132(d) of the National Defense Authorization Act for Fiscal Year 2019,Memoranda,National security
"Oct 25, 2018",Developing a Sustainable Spectrum Strategy for America's Future,Memoranda,Tech
"Oct 19, 2018",Promoting the Reliable Supply and Delivery of Water in the West,Memoranda,Energy
"Oct 16, 2018",Memorandum for the Secretary of Defense [and] the Secretary of Commerce,Memoranda,National security
"Sep 10, 2018",Delegation of Authority Under Section 1290(b) of the John S. McCain National Defense Authorization Act for Fiscal Year 2019,Memoranda,National security
"Aug 23, 2018",Modernizing the Monetary Reimbursement Model for the Delivery of Goods Through the International Postal System and Enhancing the Security and Safety of International Mail,Memoranda,National security
"Aug 31, 2018",Delegation of Authorities Under the Reinforcing Education Accountability in Development Act,Memoranda,National security
"Jun 4, 2018","Delegation of Authority Under Section 709 of the Department of State Authorities Act, Fiscal Year 2017",Memoranda,National security
"May 16, 2018",Delegation of Authorities Under Section 1244(c) of the National Defense Authorization Act for Fiscal Year 2018,Memoranda,National security
"Jun 18, 2018",National Space Traffic Management Policy,Memoranda,National security
"Apr 26, 2018",Certification for Certain Records Related to the Assassination of President John F. Kennedy,Memoranda,Criminal justice
"Apr 12, 2018",Promoting Domestic Manufacturing and Job CreationPolicies and Procedures Relating to Implementation of Air Quality Standards,Memoranda,Energy
"Apr 6, 2018","Ending ""Catch and Release'' at the Border of the United States and Directing Other Enhancements to Immigration Enforcement",Memoranda,Labor/Immigration
"Apr 4, 2018",Delegation of Authorities Under Section 3136 of the National Defense Authorization Act for Fiscal Year 2018,Memoranda,National security
"Mar 23, 2018",Military Service by Transgender Individuals,Memoranda,National security
"Mar 22, 2018","Actions by the United States Related to the Section 301 Investigation of China's Laws, Policies, Practices, or Actions Related to Technology Transfer, Intellectual Property, and Innovation",Memoranda,National security
"Feb 20, 2018",Delegation of Authorities Under Section 1245 of the National Defense Authorization Act for Fiscal Year 2018,Memoranda,National security
"Feb 8, 2018",Delegation of Certain Functions and Authorities Under Section 1252 of the National Defense Authorization Act for Fiscal Year 2017,Memoranda,National security
"Feb 9, 2018",Delegation of Certain Functions and Authorities Under Section 1235 of the National Defense Authorization Act for Fiscal Year 2018,Memoranda,National security
"Feb 20, 2018","Application of the Definition of Machinegun to ""Bump Fire'' Stocks and Other Similar Devices",Memoranda,National security
"Feb 5, 2018",Delegation of Certain Functions and Authorities Under Section 1238 of the National Defense Authorization Act for Fiscal Year 2018,Memoranda,National security
"Jan 8, 2018",Supporting Broadband Tower Facilities in Rural America on Federal Properties Managed by the Department of the Interior,Memoranda,Tech
"Dec 4, 2017",Delegation of Authority Under Sections 506(a)(2)(A) and 652 of the Foreign Assistance Act of 1961,Memoranda,National security
"Dec 11, 2017",Reinvigorating America's Human Space Exploration Program,Memoranda,National security
"Dec 8, 2017",Delaying Submission of the Small Business Administration Report Under the Trade Facilitation and Trade Enforcement Act of 2015,Memoranda,Economy
"Nov 21, 2017",Delegation of Authority Under the Foreign Aid Transparency and Accountability Act of 2016,Memoranda,National security
"Oct 26, 2017",Combatting the National Drug Demand and Opioid Crisis,Memoranda,Health care
"Oct 26, 2017",Temporary Certification for Certain Records Related to the Assassination of President John F. Kennedy,Memoranda,Criminal justice
"Oct 25, 2017",Unmanned Aircraft Systems Integration Pilot Program,Memoranda,National security
"Oct 11, 2017",Delegation of Certain Functions and Authorities Under the Countering America's Adversaries Through Sanctions Act of 2017,Memoranda,National security
"Sep 25, 2017","Delegation of Authority Under the Consolidated Appropriations Act, 2017",Memoranda,National security
"Sep 8, 2017",Delegation of Authority Under the Global Magnitsky Human Rights Accountability Act,Memoranda,National security
"Sep 25, 2017","Increasing Access to High-Quality Science, Technology, Engineering, and Mathematics (STEM) Education",Memoranda,Economy
"Aug 25, 2017",Military Service by Transgender Individuals,Memoranda,National security
"Aug 15, 2017",Elevation of U.S. Cyber Command to a Unified Combatant Command,Memoranda,Tech
"Aug 14, 2017","Addressing China's Laws, Policies, Practices, and Actions Related to Intellectual Property, Innovation, and Technology",Memoranda,Tech
"Jun 29, 2017","Delegation of Authority Under the Department of State Authorities Act, Fiscal Year 2017",Memoranda,National security
"Jun 29, 2017",Delegation of Authority Under the National Defense Authorization Act for Fiscal Year 1998,Memoranda,National security
"Jun 21, 2017","Delegation of Authority Under the Consolidated Appropriations Act, 2017",Memoranda,National security
"Jun 14, 2017",Effective Date in Executive Order 13780,Memoranda,Labor/Immigration
"Apr 12, 2017",Delegation of Authority Under the National Defense Authorization Act for Fiscal Year 2017,Memoranda,National security
"Mar 19, 2017",Delegation of Authority Under the National Defense Authorization Act for Fiscal Year 2017,Memoranda,National security
"Mar 6, 2017","Implementing Immediate Heightened Screening and Vetting of Applications for Visas and Other Immigration Benefits, Ensuring Enforcement of All Laws for Entry Into the United States, and Increasing Transparency Among Departments and Agencies of the Federal Government and for the American People",Memoranda,Labor/Immigration
"Feb 3, 2017",Fiduciary Duty Rule,Memoranda,Economy
"Jan 28, 2017",Organization of the National Security Council and the Homeland Security Council,Memoranda,National security
"Jan 28, 2017",Plan To Defeat the Islamic State of Iraq and Syria,Memoranda,National security
"Jan 27, 2017",Rebuilding the U.S. Armed Forces,Memoranda,National security
"Jan 24, 2017",Construction of American Pipelines,Memoranda,Energy
"Jan 24, 2017",Construction of the Dakota Access Pipeline,Memoranda,Energy
"Jan 24, 2017",Construction of the Keystone XL Pipeline,Memoranda,Energy
"Jan 24, 2017",Streamlining Permitting and Reducing Regulatory Burdens for Domestic Manufacturing,Memoranda,Economy
"Jan 23, 2017",Hiring Freeze,Memoranda,Administrative work
"Jan 23, 2017",The Mexico City Policy,Memoranda,National security
"Jan 23, 2017",Withdrawal of the United States From the Trans- Pacific Partnership Negotiations and Agreement,Memoranda,National security