Name,Position,Department,Level,status,Start_Date,Days,Months,Weeks,Description,,
Victoria Lipnic,Chair,EEOC,Non-Cabinet,Acting,1/25/17,905,30.17,129.29,,,
Matthew Albence,Director,ICE,Non-Cabinet,Acting,7/5/19,902,30.07,128.86,,,
Elaine Chao,Secretary,Transportation,Cabinet,Non-Acting,1/31/17,899,29.97,128.43,,,
Betsy DeVos,Secretary,Education,Cabinet,Non-Acting,2/7/17,892,29.73,127.43,,,
Mark Morgan,Director,ICE,Non-Cabinet,Acting,5/28/19,890,29.67,127.14,,,
Ann Marie Buerkle,Chairman,CPSC,Non-Cabinet,Acting,2/9/17,890,29.67,127.14,,,
Steven Mnuchin,Secretary,Treasury,Cabinet,Non-Acting,2/13/17,886,29.53,126.57,,,
Wilbur Ross,Secretary,Commerce,Cabinet,Non-Acting,2/28/17,871,29.03,124.43,,,
Ben Carson,Secretary,HUD,Cabinet,Non-Acting,3/2/17,869,28.97,124.14,,,
Rick Perry,Secretary,Energy,Cabinet,Non-Acting,3/2/17,869,28.97,124.14,,,
Dan Coats,Director,National Intelligence,Cabinet-Level,Non-Acting,3/16/17,855,28.50,122.14,,,
Ronald Vitiello,Director,ICE,Non-Cabinet,Acting,6/30/18,851,28.37,121.57,,,
Sonny Perdue,Secretary,Agriculture,Cabinet,Non-Acting,4/25/17,815,27.17,116.43,,,
Robert Lighthizer,Trade Representative,Trade Representative,Cabinet-Level,Non-Acting,5/15/17,795,26.50,113.57,,,
Loren Sweatt,Director,OSHA,Non-Cabinet,Acting,7/24/17,725,24.17,103.57,,,
Thomas Homan,Director,ICE,Non-Cabinet,Acting,1/30/17,565,18.83,80.71,,,
Alex Azar,Secretary,HHS,Cabinet,Non-Acting,1/29/18,536,17.87,76.57,,,
David Pekoske,Deputy Secretary,Homeland Security,Cabinet,Acting,4/11/19,456,15.20,65.14,,,
Mike Pompeo,Secretary,Department of State,Cabinet,Non-Acting,4/26/18,449,14.97,64.14,,,
Gina Haspel,Director,CIA,Cabinet-Level,Non-Acting,5/21/18,424,14.13,60.57,,,
Claire Grady,Deputy Secretary,Homeland Security,Cabinet,Acting,4/16/18,360,12.00,51.43,,,
Robert Wilkie,Secretary,Veterans Affairs,Cabinet,Non-Acting,7/30/18,354,11.80,50.57,,,
James Byrne,Deputy Secretary,Veterans Affairs,Cabinet,Acting,8/28/18,325,10.83,46.43,,,
Peter Gaynor,Director,FEMA,Non-Cabinet,Acting,2/1/19,217,7.23,31.00,Brock Long resigned,,
Dan Elwell,Administrator,FAA,Non-Cabinet,Acting,1/7/18,200,6.67,28.57,permanent FAA administrator Michael Huerta finished his five year term,,
Richard Spencer,Secretary,Defense,Cabinet,Acting,7/15/19,198,6.60,28.29,"Mark Esper, who had served as Secretary of the Army since Nov. 2017. Secretary of Defense James Mattis resigned in Dec. 2018 and his deputy Patrick Shanahan took over as acting secretary. Shanahan resigned after allegations came out about domestic violence, his wife punching him in 2010 and his son hitting his mom in 2011.",,
Jonathan Cohen,UN Ambassador,Department of State,Cabinet-Level,Acting,1/1/19,196,6.53,28.00,"Jonathan Cohen. Nicki Haley resigned in Dec. 2018, and Trump named Heather Nauert, the former State Department spokeswoman and Fox News “Fox & Friends” anchor, to take the role. She withdrew in February 2019. Trump has nominated Kelly Craft, the current ambassador to canada.",,
David Norquist,Deputy Secretary,Defense,Cabinet,Acting,1/1/19,196,6.53,28.00,,,
Mick Mulvaney,Chief of Staff,White House,Cabinet-Level,Acting,1/2/19,195,6.50,27.86,"White House Chief of Staff: Mick Mulvaney since Jan 2, 2019.",,np
Russell Vought,Director,OMB,Cabinet-Level,Acting,1/2/19,195,6.50,27.86,took over for Mick mulvaney when he became acting chief of staff,,
Mark Esper,Secretary,Defense,Cabinet,Acting,6/24/19,195,6.50,27.86,,,
Brian Montgomery,Deputy Director,HUD,Cabinet,Acting,1/17/19,180,6.00,25.71,"Took over for Pam Patenaude, who resigned suddenly.",,
Patrick M. Shanahan,Secretary,Defense,Cabinet,Acting,1/1/19,174,5.80,24.86,,,
William Barr,Secretary,Attorney General,Cabinet,Non-Acting,2/14/19,155,5.17,22.14,,,
Andrew Wheeler,Administrator,EPA,Cabinet-Level,Non-Acting,2/28/19,141,4.70,20.14,,,
Matthew Albence,Director,ICE,Non-Cabinet,Acting,4/1/19,106,3.53,15.14,"after Ronald Vitiello (June 30, 2018 – April 12, 2019), under Vitiello’s leadership, ICE started implementing a policy of ""zero tolerance"".",,
Kevin McAleenan,Secretary,DHS,Cabinet,Acting,4/11/19,100,3.33,14.29,"Acting DHS secretary: Kevin McAleenan following the resignation of Kirstjen Nielsen on April 7, 2019",,
David Bernhardt,Secretary,The Interior,Cabinet,Non-Acting,4/11/19,99,3.30,14.14,,,
Ned Sharpless,Director,FDA,Non-Cabinet,Acting,4/5/19,96,3.20,13.71,"Scott Gottlieb, who resigned",,
Chris Pilkerton,Administrator,SBA,Cabinet-Level,Acting,4/13/19,94,3.13,13.43,,,
Ken Cuccinelli,Director,USCIS,Non-Cabinet,Acting,6/10/19,36,1.20,5.14,,,
Mark Morgan,Director,CBP,Non-Cabinet,Acting,7/5/19,10,0.33,1.43,,,
Daniel Ragsdale,Director,ICE,Non-Cabinet,Acting,1/20/17,10,0.33,1.43,,,