County,Store Num,Density,Ratio,children,seniors,fail,fail_rate,newratio
Kings      ,5108,25848.3,5.06,0.0001,0,344,0.0673,0.197614543
Queens          ,3228,12512.46,3.88,0.001,0.001,107,0.0331,0.257982843
New York        ,2732,46961,17.19,0,0,284,0.104,0.058175933
Bronx           ,2577,24118.2,9.36,0.0006,0.0002,92,0.0357,0.10684877
Suffolk         ,1877,629.31,0.34,0.07,0.04,8,0.0043,2.982631771
Nassau         ,1443,2957.02,2.05,0.01,0.01,33,0.0229,0.487991289
Erie            ,1281,749.02,0.58,0.06,0.04,,,1.710234707
Westchester     ,1227,1898.23,1.55,0.04,0.03,38,0.031,0.646391639
Monroe           ,898,544.91,0.61,0.07,0.04,16,0.0178,1.647978565
Onondaga         ,645,579.44,0.9,0.07,0.04,15,0.0233,1.113143725
Richmond         ,588,4572.98,7.78,0.002,0.003,9,0.0153,0.128581363
Orange           ,515,444.35,0.86,0.13,0.06,18,0.035,1.158996287
Albany           ,503,570.74,1.13,0.07,0.05,,,0.881311981
Dutchess         ,401,360.59,0.9,0.13,0.08,9,0.0224,1.112066336
Ulster           ,337,157.19,0.47,0.15,0.11,10,0.0297,2.143902284
Oneida           ,335,193.63,0.58,0.09,0.07,5,0.0149,1.730103806
Rockland         ,333,1566.27,4.7,0.06,0.03,14,0.042,0.212607022
Niagara          ,284,189.89,0.67,0.08,0.05,2,0.007,1.495602717
Broome          ,277,280.56,1.01,0.07,0.06,8,0.0289,0.987311092
Saratoga         ,277,260.2,0.94,0.15,0.08,2,0.0072,1.064565719
Schenectady      ,233,736.8,3.16,0.08,0.05,,,0.316232356
Rensselaer       ,232,239.74,1.03,0.12,0.08,1,0.0043,0.967715025
Sullivan         ,196,77.78,0.4,0.17,0.12,2,0.0102,2.519928002
Chautauqua       ,194,89.94,0.46,0.11,0.09,,,2.156993551
Jefferson        ,191,62.59,0.33,0.15,0.06,7,0.0366,3.051605688
St. Lawrence     ,176,39.68,0.23,0.15,0.09,5,0.0284,4.435483871
Warren           ,165,75.53,0.46,0.11,0.11,,,2.184562426
Steuben          ,153,70.51,0.46,0.14,0.1,3,0.0196,2.169904978
Clinton          ,152,73.46,0.48,0.14,0.1,2,0.0132,2.069153281
Ontario         ,150,163.04,1.09,0.14,0.09,1,0.0067,0.920019627
Columbia,145,97.37,0.67,0.18,0.16,4,0.0276,1.489165041
Oswego,145,93.07,0.64,0.15,0.07,4,0.0276,1.557967122
Tompkins         ,122,213.37,1.75,0.1,0.06,3,0.0246,0.571776726
Chemung          ,121,216.23,1.79,0.09,0.07,,,0.559589326
Wayne            ,118,67.75,0.57,0.15,0.09,,,1.741697417
Essex            ,113,20.55,0.18,0.15,0.14,1,0.0088,5.498783455
Montgomery       ,104,122.49,1.18,0.13,0.09,,,0.849048902
Cattaraugus      ,103,61.31,0.6,0.15,0.09,,,1.679986952
Delaware         ,103,32.68,0.32,0.14,0.15,1,0.0097,3.151774786
Cayuga           ,102,92.62,0.91,0.12,0.08,,,1.101274023
Putnam           ,101,405.33,4.01,0.15,0.08,1,0.0099,0.249179681
Washington        ,97,74.72,0.77,0.16,0.12,1,0.0103,1.298179872
Otsego            ,96,62.07,0.65,0.14,0.12,4,0.0417,1.546640889
Madison           ,89,110.94,1.25,0.16,0.1,1,0.0112,0.802235443
Greene            ,87,74.8,0.86,0.17,0.16,3,0.0345,1.163101604
Herkimer          ,81,44.25,0.55,0.13,0.1,3,0.037,1.830508475
Livingston        ,80,102.18,1.28,0.11,0.08,1,0.0125,0.782932081
Genesee           ,79,121.37,1.54,0.12,0.08,,,0.6509022
Franklin          ,78,30.41,0.39,0.14,0.09,7,0.0897,2.564945742
Cortland          ,76,98.28,1.29,0.12,0.07,2,0.0263,0.773300773
Fulton            ,73,104.19,1.43,0.11,0.09,,,0.700643056
Chenango          ,70,56.16,0.8,0.16,0.11,1,0.0143,1.246438746
Allegany          ,69,47.34,0.69,0.15,0.11,,,1.457541191
Tioga            ,62,97.75,1.58,0.18,0.12,1,0.0161,0.6342711
Schoharie         ,60,51.84,0.86,0.17,0.14,,,1.157407407
Orleans           ,59,52.49,0.89,0.14,0.09,1,0.0169,1.124023624
Seneca            ,57,108.46,1.9,0.16,0.11,,,0.525539369
Yates             ,56,67.41,1.2,0.17,0.11,,,0.830737279
Wyoming           ,47,70.73,1.5,0.18,0.12,,,0.664498798
Lewis             ,37,21,0.57,0.21,0.12,2,0.0541,1.761904762
Schuyler          ,28,53.63,1.92,0.19,0.15,,,0.522095842
Hamilton          ,23,2.67,0.12,0.16,0.22,,,8.61423221